name,type,start_time,duration,"error","data"
"ch1","data",2.4979025,0.000082,,0x02
"ch1","data",2.497996,0.000082,,0x0E
"ch1","data",2.498103,0.000082,,0x03
"ch1","data",2.498196,0.000082,,0x6E
"ch1","data",2.498303,0.000082,,0x72
"ch1","data",2.4983965,0.000082,,0x8F
"ch1","data",2.498503,0.000082,"framing",0x92
"ch1","data",2.4986365,0.000082,,0x92
"ch1","data",2.49873,0.000082,"framing",0x6E
"ch1","data",2.49889,0.000082,"framing",0x0C
"ch1","data",2.4990235,0.000082,"framing",0x0C
"ch1","data",2.4991705,0.000082,"framing",0x92
"ch1","data",2.4992905,0.000082,"framing",0xEC
"ch1","data",2.4994375,0.000082,,0x93
"ch1","data",2.499531,0.000082,"framing",0x60
"ch1","data",2.4996375,0.000082,,0x02
"ch1","data",2.499731,0.000082,,0x0E
"ch1","data",2.499838,0.000082,"framing",0x73
"ch1","data",2.499971,0.000082,"framing",0x92
"ch1","data",2.5001045,0.000082,,0x92
"ch1","data",2.500198,0.000082,"framing",0x6E
"ch1","data",2.5003585,0.000082,"framing",0x0C
"ch1","data",2.5004915,0.000082,"framing",0x0C
"ch1","data",2.5006385,0.000082,"framing",0x92
"ch1","data",2.5007585,0.000082,"framing",0xEC
"ch1","data",2.5009055,0.000082,,0x92
"ch1","data",2.500999,0.000082,"framing",0x60
"ch1","data",2.5011055,0.000082,,0x02
"ch1","data",2.501199,0.000082,"framing",0x72
"ch1","data",2.5013325,0.000082,"framing",0x6C
"ch1","data",2.501466,0.000082,,0x8C
"ch1","data",2.501573,0.000082,"framing",0x63
"ch1","data",2.501706,0.000082,,0xF2
"ch1","data",2.5017995,0.000082,,0x6E
"ch1","data",2.501933,0.000082,"framing",0x6E
"ch1","data",2.502053,0.000082,"framing",0x9E
"ch1","data",2.5022265,0.000082,,0x8C
"ch1","data",2.50232,0.000082,"framing",0x9E
"ch1","data",2.502427,0.000082,"framing",0x70
"ch1","data",2.5025335,0.000082,,0x7C
"ch1","data",2.502627,0.000082,,0x0C
"ch1","data",2.5027205,0.000082,"framing",0x8E
"ch1","data",2.5028675,0.000082,,0x63
"ch1","data",2.5029605,0.000082,"framing",0x70
"ch1","data",2.5030675,0.000082,,0x00
"ch1","data",2.503161,0.000082,,0x6C
"ch1","data",2.5032675,0.000082,"framing",0x62
"ch1","data",2.503428,0.000082,"framing",0x8C
"ch1","data",2.5035745,0.000082,,0x12
"ch1","data",2.503668,0.000082,,0x6E
"ch1","data",2.503775,0.000082,,0x70
"ch1","data",2.5038685,0.000082,,0x60
"ch1","data",2.503975,0.000082,"framing",0x12
"ch1","data",2.5041085,0.000082,"framing",0x62
"ch1","data",2.504242,0.000082,"framing",0x82
"ch1","data",2.5043755,0.000082,"framing",0x12
"ch1","data",2.504509,0.000082,"framing",0x63
"ch1","data",2.5046425,0.000082,"framing",0x93
"ch1","data",2.504776,0.000082,"framing",0x63
"ch1","data",2.5049095,0.000082,"framing",0x83
"ch1","data",2.5050425,0.000082,,0xF2
"ch1","data",2.505136,0.000082,"framing",0x6E
